id,cve_id,commit_url,project_name,commit_id,repo_url,parent_commit_id,malicious_files,malicious_commit_hashes
0,CVE-1999-0199,https://github.com/bminor/glibc/commit/2864e767053317538feafa815046fff89e5a16be#diff-94e8c502f255fdfc346df0e29fd4ef40,glibc,2864e767053317538feafa815046fff89e5a16be,https://github.com//bminor/glibc,f2b9733fd6af9cd7e2aac553db4b30c96b83f66c,"sysdeps/unix/getlogin_r.c,posix/regex.c,timezone/iso3166.tab,timezone/northamerica,timezone/asia,timezone/africa,timezone/southamerica","4caef86ca68a3fea8fab5398bedc5e0e6c0d222b,102800e09dd56055f0e1a6f6868bfa5ac87d9459,38c097cae8e1da0a0b90ac81102795b2198646ca,2ad4fab214b13af85237b9e836c525e9ce3e7fb6,a5570f62ddba0ec9ecc99250191c02e0c5a911ab,7ce241a03e2c0b49482d9d05c8ddb765e89a01d9,f962d792472c45c9bccdc6b0697ad3d6350e9270,ee188d555b8c32ad9704a7440cab400af967292f,4cca6b868f08e4f95a4c3786a69135676b086c50,a7123f0edfea20a68e64e447dc6ca0c32736be0e,^28f540f45bbacd939bfd07f213bcad2bf730b1b,44c8d1a2a8775ad8c67fa1c46ccc67cccf585d93,afced61c8f6efc37c3ebeb2f9032f516982b8f21,3d61b63cc722951e3a5261e6bc3f0488eb35d441,c4563d2d668675c2d5083f6ad01c801d6ccbe013,b21c583227fa9f2e4022b6f964c88e17927c5d12,2b83a2a4d978012cdf78b648337c31091e20526d,91c7b85dc8fc310d4dcbe205861735a6748fecb4,b9f1792afb7d0aa747cf443d5fb8ac705b9c9d87,5bf62f2d3a8af353fac661b224fc1604d4de51ea,51702635af8445431054291c86aaace7c30b0970,ff48a63c86133fb352392c60b525d6aaf2d836a2,ba1ffaa1c6989873b57edc84491bfd1308b2190d,72d8cdf09dead3ee9765f1978a70147ec8545a55,d0045e79eb6f1ab705668a6efdfafe8b81d1cad8,ae828bc6f9a3ff47cb92846f71a9a7f8c6d5c941,8a52392237c44cbbd1ffc62b164230e1159dfb76,dfd2257ad98eb0f6eab167e5fe5ff68ca87172e3,e3e4e463cf18e47448e92f6cb2c126b9828cd2ca,a286028236801749fbdc42473c8dca8c1c233508,07b51ba59a50eadbda72fad0b2e55a4f0e26a291,dc9972317e6fe44e503fbfe83446272743c76fb3,740152054ecbda66dae0e0f66193d8e244cc2376,ffee131630368bc2600747346d0b03025cbca6ee,a5d1d726704c6e3c4f8457e30cbd3d2840531ee5,2864e767053317538feafa815046fff89e5a16be"
1,CVE-1999-0731,https://github.com/KDE/kde1-kdebase/commit/04906bd5de2f220bf100b605dad37b4a1d9a91a6,kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,https://github.com//KDE/kde1-kdebase,97b820813960d87174deca43ed34c6cd5cd03d11,,
2,CVE-2002-2443,https://github.com/krb5/krb5/commit/cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,krb5,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,https://github.com//krb5/krb5,0a97afba6986e2818cd26869704820e00efcae63,,
3,CVE-2005-10002,https://github.com/wp-plugins/secure-files/commit/cab025e5fc2bcdad8032d833ebc38e6bd2a13c92,secure-files,cab025e5fc2bcdad8032d833ebc38e6bd2a13c92,https://github.com//wp-plugins/secure-files,b1afc063fd49cfb875e1c6f591543ebff6649469,,
4,CVE-2006-10001,https://github.com/wp-plugins/subscribe-to-comments/commit/9683bdf462fcac2f32b33be98f0b96497fbd1bb6,subscribe-to-comments,9683bdf462fcac2f32b33be98f0b96497fbd1bb6,https://github.com//wp-plugins/subscribe-to-comments,de59be732c6c7976dc293c20a8c7648782249bd2,subscribe-to-comments.php,"9683bdf462fcac2f32b33be98f0b96497fbd1bb6,3a3eb01b4b626207d55060ec933747d59c0cf7d3,97e8d550ba15979ccc165678364a5c6b51cf2f72,8670bb2c8553b05b9343f30fd698f50a8612a5e1,ff5f27d078d9ecc3d0f272e87c6f977ae3f50403,89198a83b63385da2fbb6ab48344513fb49bf000"
5,CVE-2006-3635,https://github.com/torvalds/linux/commit/4dcc29e1574d88f4465ba865ed82800032f76418,linux,4dcc29e1574d88f4465ba865ed82800032f76418,https://github.com//torvalds/linux,e490517a039a99d692cb3a5561941b0a5f576172,arch/ia64/kernel/ivt.S,"458f935527372499b714bf4f8e646a68bb0f52e3,^1da177e4c3f41524e886b7f1b8a0c1fc7321cac,f8fa5448fc9b4a7806b1297a0b57808f12fe4d43,b64f34cdfe5bef9dfed1304c513220b0f2862eca,4dcc29e1574d88f4465ba865ed82800032f76418"
6,CVE-2006-5331,https://github.com/torvalds/linux/commit/6c4841c2b6c32a134f9f36e5e08857138cc12b10,linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10,https://github.com//torvalds/linux,60b2a46cd60c54bd6551ddfa01f0aab08ca58a5d,arch/powerpc/kernel/traps.c,"8641778049e75c1da66e66441a6d8b7a2069f607,c0ce7d0886cf0c2579c604eac41a7e125bc0e96d,dc1c1ca3dcd94c545c5e01d7c06b46824d43f4d0,14cf11af6cf608eb8c23e989ddb17a715ddce109"
7,CVE-2007-10001,https://github.com/web-cyradm/web-cyradm/commit/3e8f0717f133907bb6a09cb674b05c5f273da3e1,web-cyradm,3e8f0717f133907bb6a09cb674b05c5f273da3e1,https://github.com//web-cyradm/web-cyradm,610d7bccb071ebe0ff8468cd3a211dcf86bb7973,,
8,CVE-2007-10002,https://github.com/web-cyradm/web-cyradm/commit/2bcbead3bdb5f118bf2c38c541eaa73c29dcc90f,web-cyradm,2bcbead3bdb5f118bf2c38c541eaa73c29dcc90f,https://github.com//web-cyradm/web-cyradm,3e8f0717f133907bb6a09cb674b05c5f273da3e1,,
9,CVE-2007-10003,https://github.com/wp-plugins/the-hackers-diet/commit/7dd8acf7cd8442609840037121074425d363b694,the-hackers-diet,7dd8acf7cd8442609840037121074425d363b694,https://github.com//wp-plugins/the-hackers-diet,bd2a3532505358e7346839ab064e551a36a6d9d8,,
